name,year,count
Steve,2010,279
Terrell,2010,377
Thurman,2010,13
Tom,2010,80
Aaron,2011,7627
Adrian,2011,7487
Brett,2011,520
Brian,2011,3235
Dan,2011,108
Earl,2011,115
Emmitt,2011,284
Joe,2011,532
John,2011,11041
Ken,2011,88
Kurt,2011,111
Lawrence,2011,591
Marcus,2011,2797
Mark,2011,2425
Peyton,2011,6959
Rich,2011,9
Shaun,2011,432
Steve,2011,324
Terrell,2011,380
Thurman,2011,10
Tom,2011,82
Aaron,2012,7530
Adrian,2012,7059
Brett,2012,443
Brian,2012,2820
Dan,2012,105
Earl,2012,123
Emmitt,2012,359
Joe,2012,491
John,2012,10604
Ken,2012,107
Kurt,2012,108
Lawrence,2012,599
Marcus,2012,2713
Mark,2012,2197
Peyton,2012,6535
Rich,2012,9
Shaun,2012,391
Steve,2012,303
Terrell,2012,348
Thurman,2012,9
Tom,2012,83
Aaron,2013,7289
Adrian,2013,6951
Brett,2013,368
Brian,2013,2641
Dan,2013,86
Earl,2013,98
Emmitt,2013,393
Joe,2013,471
John,2013,10686
Ken,2013,75
Kurt,2013,129
Lawrence,2013,584
Marcus,2013,2514
Mark,2013,2201
Peyton,2013,6394
Rich,2013,18
Shaun,2013,330
Steve,2013,241
Terrell,2013,321
Thurman,2013,8
Tom,2013,81
Aaron,2014,7357
Adrian,2014,6764
Brett,2014,400
Brian,2014,2510
Dan,2014,100
Earl,2014,103
Emmitt,2014,438
Joe,2014,488
John,2014,10614
Ken,2014,84
Kurt,2014,112
Lawrence,2014,634
Marcus,2014,2592
Mark,2014,2169
Peyton,2014,6254
Rich,2014,17
Shaun,2014,319
Steve,2014,256
Terrell,2014,273
Thurman,2014,7
Tom,2014,76
